Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,-1,4.4,"Red Hat Software
4.4",Remote,-1,10000+ Employees,-1,-1,-1,-1,-1,-1
"Data Scientist, CV/NLP","$129,500 /yr (est.)",3.7,"Ancestry
3.7",Remote,-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$101,043 /yr (est.)",4.2,"Harmonia Holdings Group, LLC
4.2","McLean, VA",-1,201 to 500 Employees,-1,Company - Private,-1,-1,$25 to $100 million (USD),-1
Quantitative Researcher,"$200,000 /yr (est.)",3.9,"Belvedere Trading
3.9","New York, NY",-1,201 to 500 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist co op (Spring/Summer 2023),$29.00 /hr (est.),4.2,"Johnson & Johnson
4.2","Raritan, NJ",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$91,000 /yr (est.)",3.8,"Premier Inc.
3.8",Remote,-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
"2023 Launchpad: Corporate Functions, FinTech & Data Science, and Market Makers","$88,925 /yr (est.)",4.0,"Bank of America
4.0","Charlotte, NC",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$90,000 /yr (est.)",4.0,"Copart
4.0","Dallas, TX",-1,5001 to 10000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist - All Levels,"$73,990 /yr (est.)",4.5,"Interclypse Inc
4.5","Annapolis Junction, MD",-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
"Data and Evaluation Scientist, Health Equity","$71,210 /yr (est.)",3.7,"Nemours
3.7","Jacksonville, FL",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$88,300 /yr (est.)",3.8,"Aptiv
3.8","Troy, MI",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$237,000 /yr (est.)",4.1,"InMarket
4.1","Austin, TX",-1,201 to 500 Employees,-1,Company - Private,-1,Media & Communication,-1,-1
Data Scientist,"$97,931 /yr (est.)",4.2,"Radiance Technologies Inc.
4.2","Beavercreek, OH",-1,501 to 1000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Decision Scientist,"$101,835 /yr (est.)",4.9,"KUNGFU.AI
4.9","Austin, TX",-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,-1,3.7,"Stellantis
3.7",Remote,-1,10000+ Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist (Level I - II),"$91,036 /yr (est.)",3.5,"BEN Group, Inc
3.5","Provo, UT",-1,201 to 500 Employees,2014,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),-1
Data Scientist,"$110,000 /yr (est.)",4.6,"Super Dispatch
4.6",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist (copy),-1,4.6,"Koddi
4.6",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,-1,3.2,"SimpleTire
3.2",Remote,-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,$65.71 /hr (est.),-1,Biometric Health,,-1,Unknown,-1,-1,-1,-1,-1,-1
Data Scientist - Virtual,"$96,225 /yr (est.)",4.2,"Vizient, Inc.
4.2",Remote,-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Entry level Data Science Engineer-333338,"$62,500 /yr (est.)",4.2,"I28 Technologies
4.2","Marysville, MI",-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
Data Mining Consultant,$47.50 /hr (est.),3.4,"Archon Resources
3.4",Remote,-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
"Data Scientist, Machine Learning","$114,296 /yr (est.)",5.0,"Locus Robotics
5.0","Wilmington, MA",-1,201 to 500 Employees,-1,Company - Private,-1,-1,-1,-1
Entry Level Data Scientist,-1,3.9,"CORMAC
3.9",Remote,-1,Unknown,-1,Company - Private,-1,-1,-1,-1
Data Scientist/ML/NLP (With Text-to-Image Generation skills) - Freelance,-1,3.7,"Frontier Talent, Inc.
3.7",Remote,-1,10000+ Employees,-1,-1,-1,-1,-1,-1
"data scientist, Operational Excellence - GSC","$124,950 /yr (est.)",3.7,"Starbucks
3.7","Seattle, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist with Text to image generation,-1,-1,Frontier,Remote,-1,501 to 1000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$101,603 /yr (est.)",3.5,"Activision
3.5","Santa Monica, CA",-1,1001 to 5000 Employees,-1,-1,-1,Media & Communication,-1,-1
Data Scientist,-1,4.4,"Red Hat Software
4.4",Remote,-1,10000+ Employees,-1,-1,-1,-1,-1,-1
"Data Scientist, CV/NLP","$129,500 /yr (est.)",3.7,"Ancestry
3.7",Remote,-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$101,043 /yr (est.)",4.2,"Harmonia Holdings Group, LLC
4.2","McLean, VA",-1,201 to 500 Employees,-1,Company - Private,-1,-1,$25 to $100 million (USD),-1
Quantitative Researcher,"$200,000 /yr (est.)",3.9,"Belvedere Trading
3.9","New York, NY",-1,201 to 500 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist co op (Spring/Summer 2023),$29.00 /hr (est.),4.2,"Johnson & Johnson
4.2","Raritan, NJ",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$91,000 /yr (est.)",3.8,"Premier Inc.
3.8",Remote,-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
"2023 Launchpad: Corporate Functions, FinTech & Data Science, and Market Makers","$88,925 /yr (est.)",4.0,"Bank of America
4.0","Charlotte, NC",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$90,000 /yr (est.)",4.0,"Copart
4.0","Dallas, TX",-1,5001 to 10000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist - All Levels,"$73,990 /yr (est.)",4.5,"Interclypse Inc
4.5","Annapolis Junction, MD",-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
"Data and Evaluation Scientist, Health Equity","$71,210 /yr (est.)",3.7,"Nemours
3.7","Jacksonville, FL",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$88,300 /yr (est.)",3.8,"Aptiv
3.8","Troy, MI",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$237,000 /yr (est.)",4.1,"InMarket
4.1","Austin, TX",-1,201 to 500 Employees,-1,Company - Private,-1,Media & Communication,-1,-1
Data Scientist,"$97,931 /yr (est.)",4.2,"Radiance Technologies Inc.
4.2","Beavercreek, OH",-1,501 to 1000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Decision Scientist,"$101,835 /yr (est.)",4.9,"KUNGFU.AI
4.9","Austin, TX",-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,-1,3.7,"Stellantis
3.7",Remote,-1,10000+ Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist (Level I - II),"$91,036 /yr (est.)",3.5,"BEN Group, Inc
3.5","Provo, UT",-1,201 to 500 Employees,2014,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),-1
"Data Scientist, Machine Learning","$114,296 /yr (est.)",5.0,"Locus Robotics
5.0","Wilmington, MA",-1,201 to 500 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$110,000 /yr (est.)",4.6,"Super Dispatch
4.6",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist (copy),-1,4.6,"Koddi
4.6",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist co op (Spring/Summer 2023),$29.00 /hr (est.),4.2,"Johnson & Johnson
4.2","Raritan, NJ",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,-1,3.2,"SimpleTire
3.2",Remote,-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
Data Scientist - Virtual,"$96,225 /yr (est.)",4.2,"Vizient, Inc.
4.2",Remote,-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Mining Consultant,$47.50 /hr (est.),3.4,"Archon Resources
3.4",Remote,-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
Entry Level Data Scientist - Machine Learning Algorithms - 333322,"$67,500 /yr (est.)",4.2,"I28 Technologies
4.2","Wellston, OH",-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
"Machine Learning Data Scientist, Mid","$114,450 /yr (est.)",4.2,"Booz Allen Hamilton
4.2","Albuquerque, NM",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,-1,4.4,"Red Hat Software
4.4",Remote,-1,10000+ Employees,-1,-1,-1,-1,-1,-1
"data scientist, Operational Excellence - GSC","$124,950 /yr (est.)",3.7,"Starbucks
3.7","Seattle, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Remote Data Scientist.People Analytics,"$101,402 /yr (est.)",3.2,"ADT
3.2","Boca Raton, FL",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Jr. Data Scientist,"$98,000 /yr (est.)",4.8,"WhirlWind Technologies, LLC
4.8",Remote,-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$101,937 /yr (est.)",2.9,"CyberData Technologies
2.9","Herndon, VA",-1,51 to 200 Employees,-1,Company - Private,-1,-1,$25 to $100 million (USD),-1
Entry Level Data Scientist,-1,3.9,"CORMAC
3.9",Remote,-1,Unknown,-1,Company - Private,-1,-1,-1,-1
Data Scientist,$65.71 /hr (est.),-1,Biometric Health,"Jackson, MS",-1,Unknown,-1,-1,-1,-1,-1,-1
Jr. Data Scientist,"$87,185 /yr (est.)",3.8,"Alcon
3.8","Fort Worth, TX",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$95,536 /yr (est.)",4.0,"Steelcase
4.0","Grand Rapids, MI",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist I,"$113,021 /yr (est.)",3.2,"MAPFRE
3.2","Webster, MA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Analyst - Junior Data Scientist,"$87,500 /yr (est.)",3.9,"YES Communities
3.9","Greenwood Village, CO",-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Science Co-Op,"$100,657 /yr (est.)",4.2,"Bayer
4.2","Chesterfield, MO",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data & Applied Scientist,"$138,450 /yr (est.)",4.4,"Microsoft
4.4","Redmond, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Research Data Scientist I,-1,3.7,"Cleveland Clinic
3.7","Cleveland, OH",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist - Entry Level,"$121,209 /yr (est.)",4.4,"Lawrence Livermore National Laboratory
4.4","Livermore, CA",-1,5001 to 10000 Employees,-1,-1,-1,-1,-1,-1
Machine Learning Scientist,-1,4.0,"PayPal
4.0",Delaware,-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Machine Learning Research Scientist - Natural Language Processing,"$180,900 /yr (est.)",4.3,"Toyota Research Institute
4.3","Los Altos, CA",-1,201 to 500 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$237,000 /yr (est.)",4.1,"InMarket
4.1","Austin, TX",-1,201 to 500 Employees,-1,Company - Private,-1,Media & Communication,-1,-1
Jr. Data Scientist,"$72,500 /yr (est.)",-1,Net2Aspire,Remote,-1,Unknown,-1,-1,-1,-1,-1,-1
Data Scientist (Level I - II),"$91,036 /yr (est.)",3.5,"BEN Group, Inc
3.5","Provo, UT",-1,201 to 500 Employees,2014,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),-1
"Data Scientist, Machine Learning","$114,296 /yr (est.)",5.0,"Locus Robotics
5.0","Wilmington, MA",-1,201 to 500 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$110,000 /yr (est.)",4.6,"Super Dispatch
4.6",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,-1,4.4,"Red Hat Software
4.4",Remote,-1,10000+ Employees,-1,-1,-1,-1,-1,-1
"data scientist, Operational Excellence - GSC","$124,950 /yr (est.)",3.7,"Starbucks
3.7","Seattle, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Remote Data Scientist.People Analytics,"$101,402 /yr (est.)",3.2,"ADT
3.2","Boca Raton, FL",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
AI Residency Program (University Grad),"$112,281 /yr (est.)",4.1,"Meta
4.1","Seattle, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist - Entry Level,"$121,209 /yr (est.)",4.4,"Lawrence Livermore National Laboratory
4.4","Livermore, CA",-1,5001 to 10000 Employees,-1,-1,-1,-1,-1,-1
Jr. Data Scientist,"$72,500 /yr (est.)",-1,Net2Aspire,Remote,-1,Unknown,-1,-1,-1,-1,-1,-1
Entry Level Data Scientist - Machine Learning Algorithms - 333322,"$67,500 /yr (est.)",4.2,"I28 Technologies
4.2","Wellston, OH",-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist II,"$137,900 /yr (est.)",3.9,"Liberty Mutual Insurance
3.9",Remote,-1,10000+ Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist / Machine Learning Engineer,"$130,867 /yr (est.)",4.6,"Databricks
4.6","West, TX",-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,-1,3.2,"SimpleTire
3.2",Remote,-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
Data Scientist - Virtual,"$96,225 /yr (est.)",4.2,"Vizient, Inc.
4.2",Remote,-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Machine Learning Research Scientist - Natural Language Processing,"$180,900 /yr (est.)",4.3,"Toyota Research Institute
4.3","Los Altos, CA",-1,201 to 500 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$108,236 /yr (est.)",4.2,"Booz Allen Hamilton
4.2","Arlington, VA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Entry Level Data Scientist,-1,3.9,"CORMAC
3.9",Remote,-1,Unknown,-1,Company - Private,-1,-1,-1,-1
Data Scientist co op (Spring/Summer 2023),$29.00 /hr (est.),4.2,"Johnson & Johnson
4.2","Raritan, NJ",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data & Applied Scientist,"$138,450 /yr (est.)",4.4,"Microsoft
4.4","Redmond, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
"Data Scientist, University Graduate - 2023 Start (BS/MS)","$138,475 /yr (est.)",3.6,"TikTok
3.6","Mountain View, CA",-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$101,603 /yr (est.)",3.5,"Activision
3.5","Santa Monica, CA",-1,1001 to 5000 Employees,-1,-1,-1,Media & Communication,-1,-1
Data Mining Consultant,$47.50 /hr (est.),3.4,"Archon Resources
3.4",Remote,-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
Data Scientist (copy),-1,4.6,"Koddi
4.6",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist (Machine Learning),-1,-1,Decision Spot,"Chicago, IL",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,"$125,491 /yr (est.)",3.6,"National Security Agency
3.6","Fort Meade, MD",-1,Unknown,-1,-1,-1,-1,-1,-1
"Machine Learning Engineer, University Graduate (TikTok-Data)- 2023 Start (BS/MS)","$138,475 /yr (est.)",3.6,"TikTok
3.6","Mountain View, CA",-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Jr. Data Scientist,"$87,185 /yr (est.)",3.8,"Alcon
3.8","Fort Worth, TX",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Jr. Data Scientist,$42.50 /hr (est.),-1,TheHive,Remote,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist I,"$93,250 /yr (est.)",3.8,"New York Power Authority
3.8","White Plains, NY",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist (Level I - II),"$91,036 /yr (est.)",3.5,"BEN Group, Inc
3.5","Provo, UT",-1,201 to 500 Employees,2014,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),-1
"Data Scientist, Machine Learning","$114,296 /yr (est.)",5.0,"Locus Robotics
5.0","Wilmington, MA",-1,201 to 500 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$110,000 /yr (est.)",4.6,"Super Dispatch
4.6",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,-1,4.4,"Red Hat Software
4.4",Remote,-1,10000+ Employees,-1,-1,-1,-1,-1,-1
"data scientist, Operational Excellence - GSC","$124,950 /yr (est.)",3.7,"Starbucks
3.7","Seattle, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Remote Data Scientist.People Analytics,"$101,402 /yr (est.)",3.2,"ADT
3.2","Boca Raton, FL",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
AI Residency Program (University Grad),"$112,281 /yr (est.)",4.1,"Meta
4.1","Seattle, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist - Entry Level,"$121,209 /yr (est.)",4.4,"Lawrence Livermore National Laboratory
4.4","Livermore, CA",-1,5001 to 10000 Employees,-1,-1,-1,-1,-1,-1
Jr. Data Scientist,"$72,500 /yr (est.)",-1,Net2Aspire,Remote,-1,Unknown,-1,-1,-1,-1,-1,-1
Entry Level Data Scientist - Machine Learning Algorithms - 333322,"$67,500 /yr (est.)",4.2,"I28 Technologies
4.2","Wellston, OH",-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist II,"$137,900 /yr (est.)",3.9,"Liberty Mutual Insurance
3.9",Remote,-1,10000+ Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist / Machine Learning Engineer,"$130,867 /yr (est.)",4.6,"Databricks
4.6","West, TX",-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,-1,3.2,"SimpleTire
3.2",Remote,-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
Data Scientist - Virtual,"$96,225 /yr (est.)",4.2,"Vizient, Inc.
4.2",Remote,-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Machine Learning Research Scientist - Natural Language Processing,"$180,900 /yr (est.)",4.3,"Toyota Research Institute
4.3","Los Altos, CA",-1,201 to 500 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$108,236 /yr (est.)",4.2,"Booz Allen Hamilton
4.2","Arlington, VA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Entry Level Data Scientist,-1,3.9,"CORMAC
3.9",Remote,-1,Unknown,-1,Company - Private,-1,-1,-1,-1
Data Scientist co op (Spring/Summer 2023),$29.00 /hr (est.),4.2,"Johnson & Johnson
4.2","Raritan, NJ",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data & Applied Scientist,"$138,450 /yr (est.)",4.4,"Microsoft
4.4","Redmond, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
"Data Scientist, University Graduate - 2023 Start (BS/MS)","$138,475 /yr (est.)",3.6,"TikTok
3.6","Mountain View, CA",-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$101,603 /yr (est.)",3.5,"Activision
3.5","Santa Monica, CA",-1,1001 to 5000 Employees,-1,-1,-1,Media & Communication,-1,-1
Data Mining Consultant,$47.50 /hr (est.),3.4,"Archon Resources
3.4",Remote,-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
Data Scientist (copy),-1,4.6,"Koddi
4.6",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist (Machine Learning),-1,-1,Decision Spot,"Chicago, IL",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,"$125,491 /yr (est.)",3.6,"National Security Agency
3.6","Fort Meade, MD",-1,Unknown,-1,-1,-1,-1,-1,-1
"Machine Learning Engineer, University Graduate (TikTok-Data)- 2023 Start (BS/MS)","$138,475 /yr (est.)",3.6,"TikTok
3.6","Mountain View, CA",-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Jr. Data Scientist,"$87,185 /yr (est.)",3.8,"Alcon
3.8","Fort Worth, TX",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Jr. Data Scientist,$42.50 /hr (est.),-1,TheHive,Remote,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist I,"$93,250 /yr (est.)",3.8,"New York Power Authority
3.8","White Plains, NY",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist (Level I - II),"$91,036 /yr (est.)",3.5,"BEN Group, Inc
3.5","Provo, UT",-1,201 to 500 Employees,2014,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),-1
"Data Scientist, Machine Learning","$114,296 /yr (est.)",5.0,"Locus Robotics
5.0","Wilmington, MA",-1,201 to 500 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$110,000 /yr (est.)",4.6,"Super Dispatch
4.6",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,-1,4.4,"Red Hat Software
4.4",Remote,-1,10000+ Employees,-1,-1,-1,-1,-1,-1
"data scientist, Operational Excellence - GSC","$124,950 /yr (est.)",3.7,"Starbucks
3.7","Seattle, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Remote Data Scientist.People Analytics,"$101,402 /yr (est.)",3.2,"ADT
3.2","Boca Raton, FL",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
AI Residency Program (University Grad),"$112,281 /yr (est.)",4.1,"Meta
4.1","Seattle, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist - Entry Level,"$121,209 /yr (est.)",4.4,"Lawrence Livermore National Laboratory
4.4","Livermore, CA",-1,5001 to 10000 Employees,-1,-1,-1,-1,-1,-1
Jr. Data Scientist,"$72,500 /yr (est.)",-1,Net2Aspire,Remote,-1,Unknown,-1,-1,-1,-1,-1,-1
Entry Level Data Scientist - Machine Learning Algorithms - 333322,"$67,500 /yr (est.)",4.2,"I28 Technologies
4.2","Wellston, OH",-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist II,"$137,900 /yr (est.)",3.9,"Liberty Mutual Insurance
3.9",Remote,-1,10000+ Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist / Machine Learning Engineer,"$130,867 /yr (est.)",4.6,"Databricks
4.6","West, TX",-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,-1,3.2,"SimpleTire
3.2",Remote,-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
Data Scientist - Virtual,"$96,225 /yr (est.)",4.2,"Vizient, Inc.
4.2",Remote,-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Machine Learning Research Scientist - Natural Language Processing,"$180,900 /yr (est.)",4.3,"Toyota Research Institute
4.3","Los Altos, CA",-1,201 to 500 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$108,236 /yr (est.)",4.2,"Booz Allen Hamilton
4.2","Arlington, VA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Entry Level Data Scientist,-1,3.9,"CORMAC
3.9",Remote,-1,Unknown,-1,Company - Private,-1,-1,-1,-1
Data Scientist co op (Spring/Summer 2023),$29.00 /hr (est.),4.2,"Johnson & Johnson
4.2","Raritan, NJ",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data & Applied Scientist,"$138,450 /yr (est.)",4.4,"Microsoft
4.4","Redmond, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
"Data Scientist, University Graduate - 2023 Start (BS/MS)","$138,475 /yr (est.)",3.6,"TikTok
3.6","Mountain View, CA",-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$101,603 /yr (est.)",3.5,"Activision
3.5","Santa Monica, CA",-1,1001 to 5000 Employees,-1,-1,-1,Media & Communication,-1,-1
Data Mining Consultant,$47.50 /hr (est.),3.4,"Archon Resources
3.4",Remote,-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
Data Scientist (copy),-1,4.6,"Koddi
4.6",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist (Machine Learning),-1,-1,Decision Spot,"Chicago, IL",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,"$125,491 /yr (est.)",3.6,"National Security Agency
3.6","Fort Meade, MD",-1,Unknown,-1,-1,-1,-1,-1,-1
"Machine Learning Engineer, University Graduate (TikTok-Data)- 2023 Start (BS/MS)","$138,475 /yr (est.)",3.6,"TikTok
3.6","Mountain View, CA",-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Jr. Data Scientist,"$87,185 /yr (est.)",3.8,"Alcon
3.8","Fort Worth, TX",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Jr. Data Scientist,$42.50 /hr (est.),-1,TheHive,Remote,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist I,"$93,250 /yr (est.)",3.8,"New York Power Authority
3.8","White Plains, NY",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist (Level I - II),"$91,036 /yr (est.)",3.5,"BEN Group, Inc
3.5","Provo, UT",-1,201 to 500 Employees,2014,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),-1
"Data Scientist, Machine Learning","$114,296 /yr (est.)",5.0,"Locus Robotics
5.0","Wilmington, MA",-1,201 to 500 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$110,000 /yr (est.)",4.6,"Super Dispatch
4.6",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,-1,4.4,"Red Hat Software
4.4",Remote,-1,10000+ Employees,-1,-1,-1,-1,-1,-1
"data scientist, Operational Excellence - GSC","$124,950 /yr (est.)",3.7,"Starbucks
3.7","Seattle, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Remote Data Scientist.People Analytics,"$101,402 /yr (est.)",3.2,"ADT
3.2","Boca Raton, FL",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
